"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"5/17/2023 12 a.m. EDT",446173,438971,438045,-5573
US48,"5/17/2023 1 a.m. EDT",418994,412814,410208,-5438
US48,"5/17/2023 2 a.m. EDT",399252,389905,389248,-5768
US48,"5/17/2023 3 a.m. EDT",381525,373869,372178,-4785
US48,"5/17/2023 4 a.m. EDT",370696,363882,363001,-4675
US48,"5/17/2023 5 a.m. EDT",366336,362306,359078,-4632
US48,"5/17/2023 6 a.m. EDT",370400,371532,362744,-4833
US48,"5/17/2023 7 a.m. EDT",384933,379733,377101,-5985
US48,"5/17/2023 8 a.m. EDT",402299,403058,394397,-6427
US48,"5/17/2023 9 a.m. EDT",414696,415118,407334,-6606
US48,"5/17/2023 10 a.m. EDT",424973,426773,418564,-6567
US48,"5/17/2023 11 a.m. EDT",436221,438527,431038,-5632
US48,"5/17/2023 12 p.m. EDT",448931,449626,442803,-5367
US48,"5/17/2023 1 p.m. EDT",461501,460437,454657,-5235
US48,"5/17/2023 2 p.m. EDT",471668,470029,465438,-4215
US48,"5/17/2023 3 p.m. EDT",481513,480652,475395,-4802
US48,"5/17/2023 4 p.m. EDT",491939,490666,485412,-4632
US48,"5/17/2023 5 p.m. EDT",499715,500728,493137,-4885
US48,"5/17/2023 6 p.m. EDT",507240,508272,501746,-4783
US48,"5/17/2023 7 p.m. EDT",510220,510143,505969,-4389
US48,"5/17/2023 8 p.m. EDT",506758,506165,502124,-4782
US48,"5/17/2023 9 p.m. EDT",500649,498292,495322,-4731
US48,"5/17/2023 10 p.m. EDT",489773,513503,484109,-4833
US48,"5/17/2023 11 p.m. EDT",467839,461240,460929,-6197
US48,"5/18/2023 12 a.m. EDT",441212,434296,434561,-5183
US48,"5/18/2023 1 a.m. EDT",414869,407279,407139,-4645
US48,"5/18/2023 2 a.m. EDT",393189,388190,383692,-4909
US48,"5/18/2023 3 a.m. EDT",377202,372155,367918,-4945
US48,"5/18/2023 4 a.m. EDT",367464,363355,358535,-5219
US48,"5/18/2023 5 a.m. EDT",363843,362480,355399,-4979
US48,"5/18/2023 6 a.m. EDT",368778,371878,360604,-4748
US48,"5/18/2023 7 a.m. EDT",382880,386940,374682,-5682
US48,"5/18/2023 8 a.m. EDT",399794,401572,391761,-5359
US48,"5/18/2023 9 a.m. EDT",411222,412910,404270,-5015
US48,"5/18/2023 10 a.m. EDT",422404,422974,415879,-4933
US48,"5/18/2023 11 a.m. EDT",433954,434167,428248,-4058
US48,"5/18/2023 12 p.m. EDT",445789,444553,440596,-3531
US48,"5/18/2023 1 p.m. EDT",457644,454634,452361,-3277
US48,"5/18/2023 2 p.m. EDT",468731,464402,463310,-2972
US48,"5/18/2023 3 p.m. EDT",477940,474093,473080,-3145
US48,"5/18/2023 4 p.m. EDT",486965,483857,481556,-3280
US48,"5/18/2023 5 p.m. EDT",493175,494174,487726,-3554
US48,"5/18/2023 6 p.m. EDT",503831,501219,498633,-3654
US48,"5/18/2023 7 p.m. EDT",504977,503748,500472,-4054
US48,"5/18/2023 8 p.m. EDT",500801,500719,495568,-5503
US48,"5/18/2023 9 p.m. EDT",496210,493749,490967,-5033
US48,"5/18/2023 10 p.m. EDT",487631,480681,481279,-5674
US48,"5/18/2023 11 p.m. EDT",467005,459894,459677,-5791
US48,"5/19/2023 12 a.m. EDT",441668,433982,433893,-5760
US48,"5/19/2023 1 a.m. EDT",417203,408491,408285,-5921
US48,"5/19/2023 2 a.m. EDT",397446,386177,388562,-4507
US48,"5/19/2023 3 a.m. EDT",380002,370538,372598,-3353
US48,"5/19/2023 4 a.m. EDT",369845,361163,362929,-2688
US48,"5/19/2023 5 a.m. EDT",365150,359813,358457,-3227
US48,"5/19/2023 6 a.m. EDT",369317,368078,362085,-3624
US48,"5/19/2023 7 a.m. EDT",383840,382669,376665,-4742
US48,"5/19/2023 8 a.m. EDT",400144,397981,393001,-5322
US48,"5/19/2023 9 a.m. EDT",414279,411299,407859,-5409
US48,"5/19/2023 10 a.m. EDT",427731,424726,422335,-4626
US48,"5/19/2023 11 a.m. EDT",440543,437390,436369,-3504
US48,"5/19/2023 12 p.m. EDT",453703,449063,449548,-5277
US48,"5/19/2023 1 p.m. EDT",465228,459406,460819,-3505
US48,"5/19/2023 2 p.m. EDT",475640,468541,470805,-3988
US48,"5/19/2023 3 p.m. EDT",483032,476967,478047,-4436
US48,"5/19/2023 4 p.m. EDT",489219,485202,483826,-4436
US48,"5/19/2023 5 p.m. EDT",494574,491785,489258,-4500
