Odev1,Odev2,Odev3,Odev4,Odev5,Odev6,Odev7,Odev8,Odev9,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Butunleme,Final,Arasinav
80,85,62,98,97,86,100,53,69,20,45,70,0,60,10,65,,98,86
55,81,51,0,0,0,0,0,0,20,0,0,0,0,0,0,,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
11,1,100,65,0,27,70,10,0,0,6,0,0,0,0,0,,0,43
99,45,0,0,0,0,0,0,0,95,25,28,100,0,100,0,,39,84
98,100,95,100,55,96,100,94,0,100,0,100,100,0,100,0,,109,100
98,100,90,100,55,57,75,86,0,20,0,0,0,40,0,0,,55,98
70,63,70,0,20,67,70,0,35,55,70,0,0,20,0,20,,52,62
76,63,56,0,0,24,19,0,10,0,0,0,10,20,0,0,,0,37
91,94,70,99,100,98,100,84,100,0,0,0,0,0,0,0,,101,76
100,76,43,0,0,0,0,0,0,40,0,10,0,0,0,0,,0,0
57,70,74,75,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
75,35,22,69,0,0,20,0,18,50,0,34,40,25,10,65,,18,55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
